Listing Name,Price,Room Type,Reviews,Location
Sunny Williamsburg Penthouse - 2BR,278,Entire home/apt,3 reviews,"Williamsburg, Brooklyn"
Modern Minimalist Williamsburg Loft,229,Entire home/apt,80 reviews,"Greenpoint, Brooklyn"
Antique Brooklyn Loft Amazing View,93,Private room,16 reviews,"Williamsburg, Brooklyn"
"Beautiful, Modern 2BR, Park Slope",175,Entire home/apt,16 reviews,"Park Slope, Brooklyn"
Super-Modern Penthouse Studio,254,Entire home/apt,11 reviews,"Downtown Brooklyn, Brooklyn"
BUDGET ROOM ~ BEST LOCATION!! #2,108,Private room,67 reviews,"Williamsburg, Brooklyn"
Fabulous Family Getaway,218,Entire home/apt,8 reviews,Brooklyn
1 Bedroom Apartment in Williamsburg,253,Entire home/apt,3 reviews,Brooklyn
Perfect for Women! GREAT LOCATION!,57,Private room,61 reviews,"Bedford-Stuyvesant, Brooklyn"
"Warm and cozy, 20 min to Manhattan!",120,Private room,4 reviews,Brooklyn
Williamsburg Artist Loft,212,Entire home/apt,20 reviews,"Williamsburg, Brooklyn"
"Backyard, 3 minutes to Subway!",42,Shared room,24 reviews,"Bedford-Stuyvesant, Brooklyn"
D Private Room Luxury Duplex Loft,121,Private room,3 reviews,Brooklyn
Mayor's Mansion - Garden Suite,151,Private room,46 reviews,"Fort Greene, Brooklyn"
Fabulous Bklyn private bedbathsuite,120,Private room,202 reviews,"Clinton Hill, Brooklyn"
Sweet 1BR + Balcony (Sleeps 4),120,Entire home/apt,26 reviews,"Bedford-Stuyvesant, Brooklyn"
Sunny Private Room in Williamsburg!,60,Private room,17 reviews,"Williamsburg, Brooklyn"
Park Slope 1bdr - lively convenient,145,Entire home/apt,3 reviews,"Park Slope, Brooklyn"
Luxury apt. 2 mins from Manhattan,241,Entire home/apt,30 reviews,"Downtown Brooklyn, New York"
Bargain Room #4 - Special Low Price,71,Private room,2 reviews,Brooklyn
1 BR Beautiful Central Williamsburg,145,Entire home/apt,0 reviews,Brooklyn
Attractive & Spacious Apartment,85,Private room,10 reviews,"Greenwood Heights, Brooklyn"
Elegant LG ParkSlope 2bd Brownstone,272,Entire home/apt,12 reviews,"Park Slope, Brooklyn"
Private Suite for Cheap,91,Private room,7 reviews,"Bedford-Stuyvesant, Brooklyn"
Entire Apt in Central Williamsburg,206,Entire home/apt,14 reviews,"Williamsburg, Brooklyn"
BIG ROOM 2- 15 MINUTES TO MANHATTAN,91,Private room,15 reviews,Brooklyn
"Williamsburg room, private entrance",151,Private room,34 reviews,"Williamsburg, Brooklyn"
Light filled Boerum Hill Townhouse,302,Entire home/apt,5 reviews,Brooklyn
"Comfy, Private Bedroom in Brooklyn",79,Private room,32 reviews,"East Flatbush, Brooklyn"
Luxury Rental In Downtown Brooklyn,236,Entire home/apt,28 reviews,"Downtown Brooklyn, Brooklyn"
Private room with sleeping loft,54,Private room,14 reviews,"Williamsburg, Brooklyn"
"New Apt., SHARED room, FREE Brkfst",60,Shared room,6 reviews,Brooklyn
Little  piece of heaven,181,Entire home/apt,0 reviews,Brooklyn
"Cute sunny room in hip, safe area!",48,Private room,2 reviews,Brooklyn
YOGA 3,34,Shared room,1 review,Brooklyn
YOGA 3,34,Shared room,1 review,Brooklyn
Spacious Williamsburg Studio Loft,121,Entire home/apt,9 reviews,Brooklyn
Modern 1 Bdr in Williamsburg,212,Entire home/apt,8 reviews,"Williamsburg, Brooklyn"
Cozy BR in Wiliamsburg 2 Bedroom,91,Private room,65 reviews,"Williamsburg, Brooklyn"
PRIVATE ROOM FOR CHRISTMAS IN NY!!!,103,Private room,29 reviews,"Bushwick, Brooklyn"
Private Fl in my duplex 2bds w/bath,121,Private room,23 reviews,"Bedford-Stuyvesant, Brooklyn"
Big room. Big apt. Best corner.,133,Private room,21 reviews,"Williamsburg, Brooklyn"
"Beautiful, Lux apt in Williamsburg",230,Entire home/apt,13 reviews,"Williamsburg, Brooklyn"
Spacious Studio 3 - Fort Greene,97,Private room,46 reviews,"Boerum Hill, Brooklyn"
The authentic Brooklyn experience!,108,Shared room,0 reviews,Brooklyn
"1899 BK Mansion, 15min to Manhattan",79,Private room,2 reviews,Brooklyn
Private Room in Classic Loft,91,Private room,80 reviews,"Greenpoint, Brooklyn"
COMFY ROOM #2 ~ AMAZING LOCATION!,156,Private room,57 reviews,"Williamsburg, Brooklyn"
B Luxury Private Room Duplex Loft,121,Private room,3 reviews,Brooklyn
"Cozy 1BR apart. in Prospect Hts, BK",151,Entire home/apt,5 reviews,"Prospect Heights, Brooklyn"
Location! 1b apt 10min to Manhattan,180,Entire home/apt,59 reviews,"Fort Greene, Brooklyn"
Lovely Studio Loft,85,Entire home/apt,16 reviews,"Gowanus, Brooklyn"
Beautiful modern 2 bdrm apt W/loft,289,Entire home/apt,14 reviews,"Greenpoint, Brooklyn"
Low Winter rates!/ W'burg Blue Room,108,Private room,98 reviews,"Williamsburg, Brooklyn"
Bedroom in a spacious artsy Loft B,60,Private room,12 reviews,"Williamsburg, Brooklyn"
Sunny Room in Amazing Location,67,Private room,4 reviews,Brooklyn
Two comfy rooms in Park Slope,156,Private room,18 reviews,"Park Slope, Brooklyn"
nice room in bedstuy 12,67,Private room,17 reviews,"Bedford-Stuyvesant, Brooklyn"
Private Garden Apt on Eastern Pkwy,121,Entire home/apt,3 reviews,"Crown Heights, Brooklyn"
Writer's Room - Sunny Artsy Loft,81,Private room,41 reviews,"Williamsburg, Brooklyn"
Simple clean living.,73,Private room,0 reviews,"Bedford-Stuyvesant, Brooklyn"
CHEAP room in BEAUTIFUL LOFT! NYC,96,Private room,60 reviews,"Williamsburg, Brooklyn"
Elegant Stuyvesant Heights Retreat,127,Entire home/apt,64 reviews,"Bedford-Stuyvesant, Brooklyn"
Modern Brooklyn Penthouse,188,Entire home/apt,1 review,"Prospect Heights, Brooklyn"
Private bedroom in awesome loft apt,119,Private room,13 reviews,"Williamsburg, Brooklyn"
Cozy one bedroom on Bedford Ave,150,Entire home/apt,11 reviews,"Williamsburg, Brooklyn"
NEW MODERN LOFT 3 ON BEDFORD AVE!!!,121,Private room,28 reviews,"Williamsburg, Brooklyn"
Sunny 1BR with patio near park,224,Entire home/apt,24 reviews,"Greenpoint, Brooklyn"
NYC Big Group stay 1000/USD 30ppl,1028,Entire home/apt,24 reviews,"Bedford-Stuyvesant, Brooklyn"
1 BD in Historic Brooklyn Heights,109,Private room,7 reviews,Brooklyn
Spacious Sunny in Great Location,175,Entire home/apt,5 reviews,"Park Slope, Brooklyn"
Charming Spacious 1 Bdrm Apt,142,Entire home/apt,10 reviews,"Crown Heights, Brooklyn"
Sunny/Cozy 1BD,108,Entire home/apt,16 reviews,Brooklyn
"Private, Full Room, Very Quiet!",97,Private room,123 reviews,"Williamsburg, Brooklyn"
Luxury 2 bedroom with park view,302,Entire home/apt,1 review,"Williamsburg, Brooklyn"
"Breakfast Patio , Roof & BK Bridge!",97,Private room,7 reviews,"Downtown Brooklyn, Brooklyn"
"Classic Brownstone Beauty, Sleeps 4",240,Entire home/apt,43 reviews,"Crown Heights, Brooklyn"
Charming Williamsburg apartment!,151,Entire home/apt,3 reviews,"Williamsburg, Brooklyn"
Spacious 2 BR apartment in Bed-Stuy,151,Entire home/apt,4 reviews,Brooklyn
Pristine Central Park Slope 2br,145,Entire home/apt,2 reviews,"Park Slope, Brooklyn"
Home Sweet Home 2!!!!,109,Private room,33 reviews,"Williamsburg, Brooklyn"
Comfy bed in friendly Homestel #A,40,Shared room,24 reviews,"Clinton Hill, Brooklyn"
Historic Fort Greene & Clinton Hill,192,Entire home/apt,28 reviews,"Fort Greene, Brooklyn"
New studio APT with marble floors!,82,Entire home/apt,51 reviews,"Bushwick, Brooklyn"
Luxury Private Bed nr C/3 Subways,68,Private room,4 reviews,Brooklyn
Artist Garden Apartment Greenpoint,169,Entire home/apt,37 reviews,"Greenpoint, Brooklyn"
WONDERFUL DUPLEX PENTHOUSE,242,Entire home/apt,0 reviews,"Williamsburg, Brooklyn"
Private Room in Hip Williamsburg,133,Private room,8 reviews,"Williamsburg, Brooklyn"
Two Spacious room's in Brooklyn!!,181,Private room,5 reviews,Brooklyn
