Listing Name,Price,Room Type,Reviews,Location
"Cozy, Cute and Convenient Nook!",79,Private room,45 reviews,"Boerum Hill, Brooklyn"
Spacious Luxury Studio in Brooklyn,144,Entire home/apt,22 reviews,"Downtown Brooklyn, Brooklyn"
Rare Historic Gem in Williamsburg,108,Private room,63 reviews,"Williamsburg, Brooklyn"
Bright spacious 1BR in Williamsburg,156,Entire home/apt,20 reviews,"Williamsburg, Brooklyn"
Williamsburg off Bedford L - 1,132,Private room,2 reviews,"Williamsburg, Brooklyn"
Park Slope/Prospect Hghts 2 bedroom,180,Entire home/apt,58 reviews,"Prospect Heights, Brooklyn"
Beautiful central bright loft apt.,242,Entire home/apt,33 reviews,"Williamsburg, Brooklyn"
Entire 3BR Lux Apt 20min>Manhattan,120,Entire home/apt,3 reviews,Brooklyn
Spacious Luxury Studio in Brooklyn,144,Entire home/apt,22 reviews,"Downtown Brooklyn, Brooklyn"
"Landmark Cottage, Brownstone block",212,Entire home/apt,14 reviews,Brooklyn
"Gorgeous, Sunny Private Bed, 2 Bath",67,Private room,4 reviews,Brooklyn
"New, modern, & sun-drenched 1.5 BD",145,Entire home/apt,9 reviews,"Brooklyn Navy Yard, Brooklyn"
Stunning and Modern next to Park,120,Entire home/apt,19 reviews,"Prospect Heights, Brooklyn"
Pretty and Private in Clinton Hill,109,Private room,0 reviews,Brooklyn
Bright spacious 1BR in Williamsburg,156,Entire home/apt,20 reviews,"Williamsburg, Brooklyn"
Skylight BR in Gorgeous Rooftop Apt,71,Private room,70 reviews,"Bedford-Stuyvesant, Brooklyn"
Best Location Williamsburg Brooklyn,181,Entire home/apt,20 reviews,"Williamsburg, Brooklyn"
BEDROOM & BATHROOM in BROOKLYN,121,Private room,20 reviews,"Bedford-Stuyvesant, Brooklyn"
HUGE room/Williamsburg Waterfront!,115,Private room,3 reviews,Brooklyn
Great Loft - Private Room & Bath,133,Private room,59 reviews,"Windsor Terrace, Brooklyn"
Great Studio in Fort Greene,181,Entire home/apt,11 reviews,"Fort Greene, Brooklyn"
CHEAP BIG room in Williamsburg,48,Private room,23 reviews,Williamsburg Brooklyn
Williamsburg Garden Apartment,236,Entire home/apt,7 reviews,"Williamsburg, Brooklyn"
Williamsburg 2b apartment with deck,224,Entire home/apt,90 reviews,"Williamsburg, Brooklyn"
Awesome Room in Prime Brooklyn Spot,91,Private room,2 reviews,Brooklyn
"Spacious, Spotless 1Bd- BK Heights!",181,Entire home/apt,89 reviews,"Brooklyn Heights, Brooklyn"
Luminous 2BR in Park Slope NYC,204,Entire home/apt,7 reviews,Brooklyn
"Big Sunny Guest Room, W'burg Bridge",90,Private room,104 reviews,"Williamsburg, Brooklyn"
*OFFER* Cozy 1BR 20ft from L train,103,Private room,52 reviews,"Williamsburg, Brooklyn"
Lovely Bklyn Heights brownstone 1BR,163,Entire home/apt,16 reviews,"Brooklyn Heights, Brooklyn"
Garden Apt / Fort Greene Brownstone,284,Entire home/apt,66 reviews,"Fort Greene, Brooklyn"
Sunny Room in Classic Artist's Loft,103,Private room,39 reviews,"Greenpoint, Brooklyn"
Williamsburg Penthouse Guestroom,73,Private room,6 reviews,Brooklyn
Cozy Park Slope One Bedroom,180,Entire home/apt,8 reviews,Brooklyn
"Cozy room, overlooking garden",79,Private room,12 reviews,Brooklyn
"LEGAL PARK SLOPE 4 BR, ROOF TERRACE",605,Entire home/apt,44 reviews,"Boerum Hill, Brooklyn"
Gorgeous Artist Loft in Brooklyn,181,Private room,0 reviews,Brooklyn
"Beautiful, Bright Studio-Park Slope",157,Entire home/apt,9 reviews,"Park Slope, Brooklyn"
Big Sunny Bdrm fits 4 in E W-burg,73,Private room,16 reviews,Brooklyn
Bright & Happy Room on L Train,54,Private room,3 reviews,"Bushwick, Brooklyn"
"Cozy, Cute and Convenient Nook!",79,Private room,45 reviews,"Boerum Hill, Brooklyn"
Family Owned & Operated Brownstone,73,Private room,38 reviews,"Bedford-Stuyvesant, Brooklyn"
*OFFER* Cozy 1BR 20ft from L train,103,Private room,52 reviews,"Williamsburg, Brooklyn"
CHEAP room in DESIGNER LOFT! NYC!,96,Private room,65 reviews,"Williamsburg, Brooklyn"
Gorgeous Artist Loft in Brooklyn,181,Private room,0 reviews,Brooklyn
"Modern, Carroll Garden Townhouse",333,Entire home/apt,5 reviews,"Carroll Gardens, Brooklyn"
Designer Loft Penthouse Brooklyn,236,Entire home/apt,54 reviews,"Sunset Park, Brooklyn"
"Peace room, private bath, breakfast",97,Private room,17 reviews,Brooklyn
Lovely Spacious Private Room,103,Private room,4 reviews,Brooklyn
BEDFORD AVE STUDIO APT WITH GARDEN,242,Entire home/apt,9 reviews,"Williamsburg, Brooklyn"
Cozy Park Slope One Bedroom,180,Entire home/apt,8 reviews,Brooklyn
"large bdroom, priv bth, priv living",103,Private room,22 reviews,"Bedford-Stuyvesant, Brooklyn"
Entire 3BR Lux Apt 20min>Manhattan,120,Entire home/apt,3 reviews,Brooklyn
Sunny private room in artists loft,100,Private room,20 reviews,"Bedford-Stuyvesant, Brooklyn"
CHEAP BIG room in Williamsburg,48,Private room,23 reviews,Williamsburg Brooklyn
Fireplace! Apt Steps to Manhattan,224,Entire home/apt,37 reviews,"Downtown Brooklyn, Brooklyn"
